CLAVE SITIO,CLAVE MONITOREO,NOMBRE DEL SITIO,MES,AÑO,FECHA,CLOROF_A,COLI_FEC,COLI_TOT,E_COLI,COT,COT_SOL,DBO_SOL,DBO_TOT,DQO_SOL,DQO_TOT,N_NH3,N_NO2,N_NO3,N_ORG,N_TOT,N_TOTK,TOX_D_48_SUP_UT,TOX_D_48_FON_UT,TOX_FIS_SUP_15_UT,TOX_FIS_SUP_30_UT,TOX_FIS_SUP_5_UT,TOX_FIS_FON_15_UT,TOX_FIS_FON_30_UT,TOX_FIS_FON_5_UT,P_TOT,PO4_TOT,ORTO_PO4,COLOR_VER,TRANSPARENCIA,ABS_UV,SDT,CONDUC_CAMPO_SUP,CONDUC_CAMPO_MED,CONDUC_CAMPO_FON,pH_CAMPO_SUP,pH_CAMPO_MED,pH_CAMPO_FON,OD_%_SUP,OD_mg/L_SUP,OD_%_MED,OD_mg/L_MED,OD_%_FON,OD_mg/L_FON,SST,TURBIEDAD,AS_TOT,CD_TOT,CR_TOT,HG_TOT,NI_TOT,PB_TOT,POT_REDOX_CAMPO_SUP,POT_REDOX_CAMPO_MED,POT_REDOX_CAMPO_FON,DUR_TOT,TEMP_AMB,TEMP_AGUA,TEMP_AGUA_SUP,TEMP_AGUA_MED,TEMP_AGUA_FON,TEMP_AGUA_0.5,TEMP_AGUA_1,TEMP_AGUA_2,PROFUNDIDAD,CAUDAL
OCAVM2698,OCAVM2698-060817,LAGO NABOR CARRILLO 2,ago,2017,05/08/2017,,<30,,1.5,102.11,98.005,140.46,160,256.49,455,1.448,<0.021,1.1105,25.3185,27.8,26.7665,<1,,4.3,,2.78,,,,13.2,,0.1215,250,0.36,1.1643,4832.24,6040.3,,,9.2,,,,,,,,,120,221,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,-110,,,173.09,19,,20.2,,,20.2,,,0.87,
OCAVM2696,OCAVM2696-180318,LAGO NABOR CARRILLO 1,mar,2018,12/03/2018,39.0888,230,,230,68.87,55.13,187.27,245,467.18,622,12.3576,<0.021,0.0957,16.1502,28.6,28.5078,<1,,8.73,,6.59,,,,11.6,,5.7452,150,0.03,0.9331,1842.368,2878.7,,,8.2,,,46.6,3.4,,,,,152,700,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,-112,,,64.5,23,,17.5,,,17.5,,,0.66,
OCAVM2698,OCAVM2698-180318,LAGO NABOR CARRILLO 2,mar,2018,12/03/2018,3.8048,210,,210,86.44,76.24,181.87,237,511.33,721,0.6553,<0.021,0.0834,55.3023,56,55.9576,<1,,9.96,,8.92,,,,23.9,,16.3595,150,0.06,0.9933,1911.488,2986.7,,,8.3,,,44.8,3.3,,,,,232,800,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,-156,,,70.36,25,,17.8,,,17.8,,,0.53,
OCAVM2696,OCAVM2696-270518,LAGO NABOR CARRILLO 1,may,2018,21/05/2018,226.7558,<30,,1.5,197.82,176.64,177.07,198,1459.68,1792,0.4448,<0.021,0.1112,52.6728,53.2,53.1176,<1,,<1,<1,<1,,,,14.8,,0.7876,250,0.04,1.7775,1458.56,2279,,,8.4,,,,4.2,,,,,930,1500,<0.01,<0.003,<0.005,<0.0005,0.0043,<0.005,,,,152.44,27,,26.6,,,26.6,,,0.72,
OCAVM2698,OCAVM2698-270518,LAGO NABOR CARRILLO 2,may,2018,21/05/2018,35.511,<30,,1.5,130.47,129.515,130.25,131,627.24,921,2.8998,<0.021,0.232,29.4367,32.5,32.3365,<1,,<1,<1,<1,,,,25.1,,1.9007,250,0.05,1.8819,1705.6,2665,,,8.6,,,48.5,3.7,,,,,270,820,<0.01,<0.003,<0.005,<0.0005,0.0024,<0.005,-155,,,160.26,26,,21.5,,,21.5,,,0.69,
OCAVM2696,OCAVM2696-181118,LAGO NABOR CARRILLO 1,nov,2018,16/11/2018,85.0977,<30,,1.5,75.04,69.77,75.8,80,357.04,425,0.6284,<0.021,0.2711,1.5922,2.5,2.2206,<1,,<1,<1,<1,,,,14.6,,1.8101,100,0.05,1.1219,5380.8,6726,,,9.8,,,22.8,4.2,,,,,136,170,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,,,,107.49,19,,12,,,12,,,0.9,
OCAVM2698,OCAVM2698-181118,LAGO NABOR CARRILLO 2,nov,2018,16/11/2018,20.7912,<30,,1.5,115.6,103.59,200.48,304,515.91,635,0.9575,<0.021,0.9365,14.5045,16.4,15.462,<1,,<1,<1,<1,,,,14.7,,5.43,100,0.05,1.5931,7304.8,9131,,,10,,,,3.7,,,,,290,650,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,,,,95.77,22,,12,,,12,,,0.9,
OCAVM2696,OCAVM2696-240219,LAGO NABOR CARRILLO 1,feb,2019,19/02/2019,58.6306,110,,110,86.355,55.125,18.3,28,548.77,649,4.3794,0.0331,1.2611,45.3796,51,49.759,<1,,29.55,26.99,18.88,,,,5.8,,3.5136,120,0.19,0.9724,5081.6,6352,,,8.6,,,,3,,,,,248,500,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,-148,,,216.94,27.1,,17.3,,,17.3,,,0.8,
OCAVM2698,OCAVM2698-240219,LAGO NABOR CARRILLO 2,feb,2019,19/02/2019,8.2859,30,,30,159.36,120.63,26.4,59,591.06,677,0.9117,<0.021,0.7189,29.6523,31.3,30.564,<1,,20.97,23.44,15.66,,,,24.6,,19.6765,120,0.17,1.8837,892.8,1395,,,8.7,,,,1.7,,,,,120,220,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,-152,,,121.17,25.3,,16.7,,,16.7,,,0.71,
OCAVM2696,OCAVM2696-130920,LAGO NABOR CARRILLO 1,sep,2020,07/09/2020,41.6262,1500,,930,86.766,84.946,42.42,49,564.24,602,0.6791,<0.021,0.2386,1.3182,2.2,1.9973,<1,,<1,<1,,,,,15.5,,1.1734,120,0.1,,1769.6,2765,,,9.7,,,37.2,2.4,,,,,190,340,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,-34,,,142.1,19,,18.5,,,18.5,18.5,,1,
OCAVM2698,OCAVM2698-130920,LAGO NABOR CARRILLO 2,sep,2020,07/09/2020,15.8531,2400,,2400,98.48,87.888,43.32,44,609.09,673,0.9368,0.0281,0.9128,18.8705,20.7,19.8073,<1,,<1,<1,,,,,14.5,,3.7915,100,0.09,,1927.04,3011,,,9.7,,,38.5,2.2,,,,,200,450,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,-95,,,207.23,20,,18.4,,,18.4,18.4,,1,
